exp,src,dst,number_of_packets,packet_size,time
1,2,3,100,4,0.000078
1,6,7,100,4,0.000065
2,6,7,100,4,0.000013
2,2,3,100,4,0.000014
3,6,7,100,4,0.000013
3,2,3,100,4,0.000013
4,2,3,100,4,0.000013
1,4,5,100,4,0.000101
5,2,3,100,4,0.000013
4,6,7,100,4,0.000013
5,6,7,100,4,0.000013
6,6,7,100,4,0.000013
6,2,3,100,4,0.000013
7,2,3,100,4,0.000013
7,6,7,100,4,0.000013
8,2,3,100,4,0.000013
8,6,7,100,4,0.000013
9,2,3,100,4,0.000013
9,6,7,100,4,0.000013
10,6,7,100,4,0.000013
10,2,3,100,4,0.000013
11,2,3,100,4,0.000013
11,6,7,100,4,0.000013
12,6,7,100,4,0.000013
12,2,3,100,4,0.000013
13,6,7,100,4,0.000013
13,2,3,100,4,0.000013
14,2,3,100,4,0.000013
14,6,7,100,4,0.000013
15,2,3,100,4,0.000013
15,6,7,100,4,0.000013
16,2,3,100,4,0.000019
16,6,7,100,4,0.000019
17,2,3,100,4,0.000014
17,6,7,100,4,0.000015
18,2,3,100,4,0.000013
19,2,3,100,4,0.000013
18,6,7,100,4,0.000013
20,2,3,100,4,0.000013
19,6,7,100,4,0.000013
21,2,3,100,4,0.000013
20,6,7,100,4,0.000013
21,6,7,100,4,0.000013
22,2,3,100,4,0.000013
23,2,3,100,4,0.000013
22,6,7,100,4,0.000013
24,2,3,100,4,0.000013
23,6,7,100,4,0.000013
24,6,7,100,4,0.000013
25,2,3,100,4,0.000013
26,2,3,100,4,0.000013
25,6,7,100,4,0.000013
27,2,3,100,4,0.000014
26,6,7,100,4,0.000013
28,2,3,100,4,0.000013
27,6,7,100,4,0.000014
29,2,3,100,4,0.000013
28,6,7,100,4,0.000013
30,2,3,100,4,0.000013
29,6,7,100,4,0.000013
31,2,3,100,4,0.000013
30,6,7,100,4,0.000013
32,2,3,100,4,0.000013
31,6,7,100,4,0.000013
33,2,3,100,4,0.000013
32,6,7,100,4,0.000013
34,2,3,100,4,0.000013
33,6,7,100,4,0.000013
34,6,7,100,4,0.000013
35,6,7,100,4,0.000022
35,2,3,100,4,0.000013
36,2,3,100,4,0.000013
37,2,3,100,4,0.000013
36,6,7,100,4,0.000014
38,2,3,100,4,0.000013
37,6,7,100,4,0.000013
39,2,3,100,4,0.000013
38,6,7,100,4,0.000013
39,6,7,100,4,0.000013
40,2,3,100,4,0.000013
41,2,3,100,4,0.000013
40,6,7,100,4,0.000013
42,2,3,100,4,0.000013
41,6,7,100,4,0.000013
43,2,3,100,4,0.000021
42,6,7,100,4,0.000013
44,2,3,100,4,0.000013
43,6,7,100,4,0.000013
45,2,3,100,4,0.000013
44,6,7,100,4,0.000013
46,2,3,100,4,0.000013
45,6,7,100,4,0.000013
47,2,3,100,4,0.000013
46,6,7,100,4,0.000013
48,2,3,100,4,0.000013
47,6,7,100,4,0.000013
49,2,3,100,4,0.000013
48,6,7,100,4,0.000013
50,2,3,100,4,0.000013
49,6,7,100,4,0.000013
51,2,3,100,4,0.000013
50,6,7,100,4,0.000013
52,2,3,100,4,0.000013
51,6,7,100,4,0.000013
53,2,3,100,4,0.000013
52,6,7,100,4,0.000013
54,2,3,100,4,0.000013
53,6,7,100,4,0.000013
55,2,3,100,4,0.000013
54,6,7,100,4,0.000013
55,6,7,100,4,0.000013
56,2,3,100,4,0.000013
57,2,3,100,4,0.000013
56,6,7,100,4,0.000013
58,2,3,100,4,0.000013
57,6,7,100,4,0.000013
59,2,3,100,4,0.000013
58,6,7,100,4,0.000013
60,2,3,100,4,0.000013
59,6,7,100,4,0.000013
61,2,3,100,4,0.000013
60,6,7,100,4,0.000013
62,2,3,100,4,0.000013
61,6,7,100,4,0.000013
63,2,3,100,4,0.000013
62,6,7,100,4,0.000013
64,2,3,100,4,0.000013
63,6,7,100,4,0.000013
65,2,3,100,4,0.000013
64,6,7,100,4,0.000013
66,2,3,100,4,0.000013
67,2,3,100,4,0.000013
65,6,7,100,4,0.000013
66,6,7,100,4,0.000013
68,2,3,100,4,0.000013
67,6,7,100,4,0.000013
69,2,3,100,4,0.000013
68,6,7,100,4,0.000013
70,2,3,100,4,0.000013
69,6,7,100,4,0.000013
71,2,3,100,4,0.000013
70,6,7,100,4,0.000013
72,2,3,100,4,0.000013
71,6,7,100,4,0.000013
73,2,3,100,4,0.000013
72,6,7,100,4,0.000013
74,2,3,100,4,0.000013
73,6,7,100,4,0.000013
75,2,3,100,4,0.000013
74,6,7,100,4,0.000013
76,2,3,100,4,0.000013
75,6,7,100,4,0.000013
77,2,3,100,4,0.000013
76,6,7,100,4,0.000013
77,6,7,100,4,0.000013
78,2,3,100,4,0.000013
79,2,3,100,4,0.000013
78,6,7,100,4,0.000013
80,2,3,100,4,0.000013
79,6,7,100,4,0.000013
81,2,3,100,4,0.000013
80,6,7,100,4,0.000013
82,2,3,100,4,0.000013
83,2,3,100,4,0.000013
81,6,7,100,4,0.000013
84,2,3,100,4,0.000013
82,6,7,100,4,0.000013
85,2,3,100,4,0.000013
83,6,7,100,4,0.000013
86,2,3,100,4,0.000013
84,6,7,100,4,0.000013
87,2,3,100,4,0.000013
85,6,7,100,4,0.000013
88,2,3,100,4,0.000013
86,6,7,100,4,0.000013
89,2,3,100,4,0.000013
87,6,7,100,4,0.000013
90,2,3,100,4,0.000013
88,6,7,100,4,0.000013
91,2,3,100,4,0.000013
89,6,7,100,4,0.000013
92,2,3,100,4,0.000013
90,6,7,100,4,0.000013
93,2,3,100,4,0.000013
91,6,7,100,4,0.000013
94,2,3,100,4,0.000013
92,6,7,100,4,0.000013
95,2,3,100,4,0.000013
93,6,7,100,4,0.000013
96,2,3,100,4,0.000013
94,6,7,100,4,0.000013
97,2,3,100,4,0.000013
95,6,7,100,4,0.000013
98,2,3,100,4,0.000013
96,6,7,100,4,0.000018
99,2,3,100,4,0.000013
97,6,7,100,4,0.000013
98,6,7,100,4,0.000013
1,0,1,100,4,0.001746
2,0,1,100,4,0.000014
99,6,7,100,4,0.000013
3,0,1,100,4,0.000014
4,0,1,100,4,0.000014
2,4,5,100,4,0.001637
3,4,5,100,4,0.000053
5,0,1,100,4,0.000013
6,0,1,100,4,0.000013
4,4,5,100,4,0.000013
7,0,1,100,4,0.000023
5,4,5,100,4,0.000013
8,0,1,100,4,0.000013
6,4,5,100,4,0.000013
9,0,1,100,4,0.000013
7,4,5,100,4,0.000013
10,0,1,100,4,0.000044
8,4,5,100,4,0.000013
9,4,5,100,4,0.000013
11,0,1,100,4,0.000014
10,4,5,100,4,0.000013
12,0,1,100,4,0.000014
11,4,5,100,4,0.000023
13,0,1,100,4,0.000013
12,4,5,100,4,0.000013
14,0,1,100,4,0.000014
15,0,1,100,4,0.000013
13,4,5,100,4,0.000013
16,0,1,100,4,0.000024
14,4,5,100,4,0.000013
17,0,1,100,4,0.000015
15,4,5,100,4,0.000014
18,0,1,100,4,0.000013
16,4,5,100,4,0.000024
19,0,1,100,4,0.000013
17,4,5,100,4,0.000014
20,0,1,100,4,0.000013
18,4,5,100,4,0.000013
21,0,1,100,4,0.000013
19,4,5,100,4,0.000013
22,0,1,100,4,0.000013
20,4,5,100,4,0.000013
23,0,1,100,4,0.000022
21,4,5,100,4,0.000013
24,0,1,100,4,0.000013
22,4,5,100,4,0.000013
25,0,1,100,4,0.000013
23,4,5,100,4,0.000013
26,0,1,100,4,0.000013
24,4,5,100,4,0.000042
27,0,1,100,4,0.000014
25,4,5,100,4,0.000022
28,0,1,100,4,0.000013
26,4,5,100,4,0.000013
27,4,5,100,4,0.000014
29,0,1,100,4,0.000013
30,0,1,100,4,0.000013
28,4,5,100,4,0.000013
31,0,1,100,4,0.000013
29,4,5,100,4,0.000013
32,0,1,100,4,0.000013
30,4,5,100,4,0.000013
33,0,1,100,4,0.000013
31,4,5,100,4,0.000013
34,0,1,100,4,0.000013
32,4,5,100,4,0.000013
35,0,1,100,4,0.000014
33,4,5,100,4,0.000023
36,0,1,100,4,0.000013
34,4,5,100,4,0.000023
37,0,1,100,4,0.000030
35,4,5,100,4,0.000013
38,0,1,100,4,0.000013
36,4,5,100,4,0.000013
39,0,1,100,4,0.000013
37,4,5,100,4,0.000020
40,0,1,100,4,0.000013
38,4,5,100,4,0.000013
41,0,1,100,4,0.000013
39,4,5,100,4,0.000013
42,0,1,100,4,0.000013
40,4,5,100,4,0.000013
43,0,1,100,4,0.000013
41,4,5,100,4,0.000013
42,4,5,100,4,0.000022
44,0,1,100,4,0.000013
45,0,1,100,4,0.000013
43,4,5,100,4,0.000013
46,0,1,100,4,0.000013
44,4,5,100,4,0.000013
47,0,1,100,4,0.000013
45,4,5,100,4,0.000013
48,0,1,100,4,0.000013
46,4,5,100,4,0.000013
49,0,1,100,4,0.000013
47,4,5,100,4,0.000013
50,0,1,100,4,0.000013
48,4,5,100,4,0.000017
49,4,5,100,4,0.000014
51,0,1,100,4,0.000013
52,0,1,100,4,0.000017
50,4,5,100,4,0.000013
53,0,1,100,4,0.000013
51,4,5,100,4,0.000013
54,0,1,100,4,0.000013
52,4,5,100,4,0.000020
55,0,1,100,4,0.000013
53,4,5,100,4,0.000013
56,0,1,100,4,0.000013
54,4,5,100,4,0.000013
57,0,1,100,4,0.000016
55,4,5,100,4,0.000013
58,0,1,100,4,0.000013
56,4,5,100,4,0.000013
57,4,5,100,4,0.000013
59,0,1,100,4,0.000013
60,0,1,100,4,0.000013
58,4,5,100,4,0.000013
61,0,1,100,4,0.000013
59,4,5,100,4,0.000023
62,0,1,100,4,0.000013
60,4,5,100,4,0.000013
63,0,1,100,4,0.000013
61,4,5,100,4,0.000013
64,0,1,100,4,0.000013
62,4,5,100,4,0.000013
65,0,1,100,4,0.000013
63,4,5,100,4,0.000013
66,0,1,100,4,0.000013
64,4,5,100,4,0.000013
65,4,5,100,4,0.000013
67,0,1,100,4,0.000022
68,0,1,100,4,0.000013
66,4,5,100,4,0.000039
69,0,1,100,4,0.000013
67,4,5,100,4,0.000014
70,0,1,100,4,0.000013
68,4,5,100,4,0.000022
69,4,5,100,4,0.000013
71,0,1,100,4,0.000013
72,0,1,100,4,0.000013
70,4,5,100,4,0.000013
73,0,1,100,4,0.000013
71,4,5,100,4,0.000013
74,0,1,100,4,0.000013
72,4,5,100,4,0.000013
75,0,1,100,4,0.000013
73,4,5,100,4,0.000013
74,4,5,100,4,0.000013
76,0,1,100,4,0.000013
77,0,1,100,4,0.000013
75,4,5,100,4,0.000013
78,0,1,100,4,0.000013
76,4,5,100,4,0.000023
79,0,1,100,4,0.000013
77,4,5,100,4,0.000023
78,4,5,100,4,0.000013
80,0,1,100,4,0.000013
81,0,1,100,4,0.000031
79,4,5,100,4,0.000020
82,0,1,100,4,0.000014
80,4,5,100,4,0.000013
83,0,1,100,4,0.000013
81,4,5,100,4,0.000013
84,0,1,100,4,0.000013
82,4,5,100,4,0.000013
85,0,1,100,4,0.000013
83,4,5,100,4,0.000013
86,0,1,100,4,0.000013
84,4,5,100,4,0.000013
87,0,1,100,4,0.000013
85,4,5,100,4,0.000023
88,0,1,100,4,0.000013
86,4,5,100,4,0.000023
89,0,1,100,4,0.000013
87,4,5,100,4,0.000013
90,0,1,100,4,0.000013
88,4,5,100,4,0.000013
91,0,1,100,4,0.000013
89,4,5,100,4,0.000013
92,0,1,100,4,0.000013
90,4,5,100,4,0.000013
93,0,1,100,4,0.000013
91,4,5,100,4,0.000013
94,0,1,100,4,0.000013
92,4,5,100,4,0.000013
95,0,1,100,4,0.000020
93,4,5,100,4,0.000019
96,0,1,100,4,0.000013
94,4,5,100,4,0.000023
97,0,1,100,4,0.000013
95,4,5,100,4,0.000023
98,0,1,100,4,0.000013
96,4,5,100,4,0.000013
99,0,1,100,4,0.000013
97,4,5,100,4,0.000013
98,4,5,100,4,0.000013
99,4,5,100,4,0.000013
1,4,5,100,40,0.000075
1,2,3,100,40,0.000073
2,2,3,100,40,0.000015
3,2,3,100,40,0.000015
2,4,5,100,40,0.000014
3,4,5,100,40,0.000013
4,4,5,100,40,0.000016
4,2,3,100,40,0.000014
5,2,3,100,40,0.000015
5,4,5,100,40,0.000014
6,2,3,100,40,0.000014
6,4,5,100,40,0.000014
7,2,3,100,40,0.000015
7,4,5,100,40,0.000013
8,4,5,100,40,0.000013
8,2,3,100,40,0.000015
9,2,3,100,40,0.000015
9,4,5,100,40,0.000014
10,4,5,100,40,0.000015
10,2,3,100,40,0.000014
11,4,5,100,40,0.000014
11,2,3,100,40,0.000015
12,2,3,100,40,0.000015
12,4,5,100,40,0.000019
13,2,3,100,40,0.000015
13,4,5,100,40,0.000013
14,2,3,100,40,0.000014
14,4,5,100,40,0.000013
15,2,3,100,40,0.000014
15,4,5,100,40,0.000014
16,2,3,100,40,0.000020
16,4,5,100,40,0.000023
17,2,3,100,40,0.000016
18,2,3,100,40,0.000015
17,4,5,100,40,0.000016
18,4,5,100,40,0.000014
19,2,3,100,40,0.000014
19,4,5,100,40,0.000014
20,4,5,100,40,0.000014
20,2,3,100,40,0.000014
21,2,3,100,40,0.000014
21,4,5,100,40,0.000013
22,2,3,100,40,0.000014
22,4,5,100,40,0.000014
23,4,5,100,40,0.000014
23,2,3,100,40,0.000014
24,2,3,100,40,0.000014
24,4,5,100,40,0.000015
25,2,3,100,40,0.000034
25,4,5,100,40,0.000014
26,2,3,100,40,0.000014
26,4,5,100,40,0.000014
27,2,3,100,40,0.000014
27,4,5,100,40,0.000015
28,2,3,100,40,0.000013
28,4,5,100,40,0.000015
29,2,3,100,40,0.000014
29,4,5,100,40,0.000014
30,2,3,100,40,0.000015
30,4,5,100,40,0.000015
31,2,3,100,40,0.000014
31,4,5,100,40,0.000014
32,2,3,100,40,0.000015
32,4,5,100,40,0.000014
33,4,5,100,40,0.000013
34,4,5,100,40,0.000014
33,2,3,100,40,0.000013
34,2,3,100,40,0.000014
35,4,5,100,40,0.000015
35,2,3,100,40,0.000014
36,4,5,100,40,0.000014
36,2,3,100,40,0.000015
37,4,5,100,40,0.000013
38,4,5,100,40,0.000014
37,2,3,100,40,0.000014
38,2,3,100,40,0.000014
39,4,5,100,40,0.000014
39,2,3,100,40,0.000014
40,4,5,100,40,0.000014
40,2,3,100,40,0.000014
41,4,5,100,40,0.000013
41,2,3,100,40,0.000014
42,4,5,100,40,0.000014
42,2,3,100,40,0.000014
43,4,5,100,40,0.000014
43,2,3,100,40,0.000015
44,4,5,100,40,0.000014
44,2,3,100,40,0.000014
45,4,5,100,40,0.000013
45,2,3,100,40,0.000015
46,4,5,100,40,0.000014
46,2,3,100,40,0.000014
47,4,5,100,40,0.000015
47,2,3,100,40,0.000015
48,4,5,100,40,0.000014
48,2,3,100,40,0.000015
49,4,5,100,40,0.000015
49,2,3,100,40,0.000014
50,4,5,100,40,0.000014
50,2,3,100,40,0.000015
51,4,5,100,40,0.000015
51,2,3,100,40,0.000014
52,4,5,100,40,0.000015
52,2,3,100,40,0.000014
53,4,5,100,40,0.000014
54,4,5,100,40,0.000014
53,2,3,100,40,0.000015
54,2,3,100,40,0.000014
55,4,5,100,40,0.000014
55,2,3,100,40,0.000015
56,4,5,100,40,0.000014
56,2,3,100,40,0.000013
57,4,5,100,40,0.000014
57,2,3,100,40,0.000014
58,4,5,100,40,0.000015
58,2,3,100,40,0.000014
59,4,5,100,40,0.000015
59,2,3,100,40,0.000014
60,2,3,100,40,0.000014
60,4,5,100,40,0.000014
61,2,3,100,40,0.000015
61,4,5,100,40,0.000014
62,4,5,100,40,0.000014
62,2,3,100,40,0.000014
63,4,5,100,40,0.000013
63,2,3,100,40,0.000013
64,4,5,100,40,0.000014
64,2,3,100,40,0.000015
65,4,5,100,40,0.000015
65,2,3,100,40,0.000013
66,4,5,100,40,0.000014
66,2,3,100,40,0.000014
67,4,5,100,40,0.000015
67,2,3,100,40,0.000014
68,4,5,100,40,0.000014
68,2,3,100,40,0.000014
69,4,5,100,40,0.000016
1,0,1,100,40,0.000070
70,4,5,100,40,0.000013
69,2,3,100,40,0.000014
70,2,3,100,40,0.000014
71,4,5,100,40,0.000014
71,2,3,100,40,0.000015
72,4,5,100,40,0.000014
72,2,3,100,40,0.000014
73,4,5,100,40,0.000015
73,2,3,100,40,0.000013
74,4,5,100,40,0.000014
74,2,3,100,40,0.000014
75,4,5,100,40,0.000014
76,4,5,100,40,0.000014
77,4,5,100,40,0.000014
75,2,3,100,40,0.000015
76,2,3,100,40,0.000013
78,4,5,100,40,0.000014
77,2,3,100,40,0.000015
79,4,5,100,40,0.000014
78,2,3,100,40,0.000013
80,4,5,100,40,0.000015
79,2,3,100,40,0.000014
81,4,5,100,40,0.000014
80,2,3,100,40,0.000014
82,4,5,100,40,0.000014
81,2,3,100,40,0.000017
83,4,5,100,40,0.000014
82,2,3,100,40,0.000013
84,4,5,100,40,0.000014
83,2,3,100,40,0.000014
85,4,5,100,40,0.000014
84,2,3,100,40,0.000014
86,4,5,100,40,0.000014
85,2,3,100,40,0.000015
87,4,5,100,40,0.000015
86,2,3,100,40,0.000015
88,4,5,100,40,0.000014
87,2,3,100,40,0.000014
89,4,5,100,40,0.000014
88,2,3,100,40,0.000014
90,4,5,100,40,0.000014
89,2,3,100,40,0.000014
91,4,5,100,40,0.000014
92,4,5,100,40,0.000013
90,2,3,100,40,0.000015
93,4,5,100,40,0.000014
91,2,3,100,40,0.000014
94,4,5,100,40,0.000014
92,2,3,100,40,0.000014
95,4,5,100,40,0.000014
93,2,3,100,40,0.000015
96,4,5,100,40,0.000013
94,2,3,100,40,0.000014
97,4,5,100,40,0.000014
95,2,3,100,40,0.000014
98,4,5,100,40,0.000015
96,2,3,100,40,0.000015
99,4,5,100,40,0.000014
97,2,3,100,40,0.000014
1,6,7,100,40,0.001849
2,6,7,100,40,0.000015
98,2,3,100,40,0.000015
99,2,3,100,40,0.000014
3,6,7,100,40,0.000014
2,0,1,100,40,0.000364
4,6,7,100,40,0.000020
3,0,1,100,40,0.000016
5,6,7,100,40,0.000015
4,0,1,100,40,0.000016
5,0,1,100,40,0.000013
6,6,7,100,40,0.000015
6,0,1,100,40,0.000025
7,6,7,100,40,0.000013
8,6,7,100,40,0.000014
7,0,1,100,40,0.000014
9,6,7,100,40,0.000013
8,0,1,100,40,0.000024
10,6,7,100,40,0.000014
9,0,1,100,40,0.000016
11,6,7,100,40,0.000014
10,0,1,100,40,0.000014
11,0,1,100,40,0.000015
12,6,7,100,40,0.000014
12,0,1,100,40,0.000015
13,6,7,100,40,0.000013
13,0,1,100,40,0.000014
14,6,7,100,40,0.000014
14,0,1,100,40,0.000014
15,6,7,100,40,0.000015
15,0,1,100,40,0.000013
16,6,7,100,40,0.000021
16,0,1,100,40,0.000023
17,6,7,100,40,0.000016
17,0,1,100,40,0.000016
18,6,7,100,40,0.000035
18,0,1,100,40,0.000014
19,6,7,100,40,0.000013
19,0,1,100,40,0.000014
20,6,7,100,40,0.000014
20,0,1,100,40,0.000014
21,6,7,100,40,0.000013
21,0,1,100,40,0.000014
22,6,7,100,40,0.000020
22,0,1,100,40,0.000014
23,6,7,100,40,0.000013
23,0,1,100,40,0.000015
24,6,7,100,40,0.000014
24,0,1,100,40,0.000014
25,6,7,100,40,0.000013
26,6,7,100,40,0.000014
25,0,1,100,40,0.000014
26,0,1,100,40,0.000014
27,6,7,100,40,0.000015
27,0,1,100,40,0.000015
28,6,7,100,40,0.000013
28,0,1,100,40,0.000014
29,6,7,100,40,0.000014
29,0,1,100,40,0.000015
30,6,7,100,40,0.000015
30,0,1,100,40,0.000015
31,6,7,100,40,0.000014
31,0,1,100,40,0.000015
32,6,7,100,40,0.000019
32,0,1,100,40,0.000014
33,6,7,100,40,0.000013
33,0,1,100,40,0.000014
34,6,7,100,40,0.000014
34,0,1,100,40,0.000015
35,6,7,100,40,0.000013
35,0,1,100,40,0.000016
36,6,7,100,40,0.000014
36,0,1,100,40,0.000015
37,6,7,100,40,0.000015
37,0,1,100,40,0.000015
38,6,7,100,40,0.000014
38,0,1,100,40,0.000014
39,6,7,100,40,0.000013
39,0,1,100,40,0.000013
40,6,7,100,40,0.000014
41,6,7,100,40,0.000013
40,0,1,100,40,0.000014
41,0,1,100,40,0.000014
42,6,7,100,40,0.000013
42,0,1,100,40,0.000014
43,6,7,100,40,0.000014
43,0,1,100,40,0.000014
44,6,7,100,40,0.000014
44,0,1,100,40,0.000013
45,6,7,100,40,0.000014
45,0,1,100,40,0.000014
46,6,7,100,40,0.000031
46,0,1,100,40,0.000015
47,6,7,100,40,0.000014
48,6,7,100,40,0.000014
47,0,1,100,40,0.000014
48,0,1,100,40,0.000015
49,6,7,100,40,0.000014
49,0,1,100,40,0.000015
50,6,7,100,40,0.000014
50,0,1,100,40,0.000014
51,6,7,100,40,0.000014
51,0,1,100,40,0.000014
52,6,7,100,40,0.000014
52,0,1,100,40,0.000015
