bounce,src,dst,packet_size,time
0,0,1,4,0.002311
1,0,1,4,0.000777
0,2,3,4,0.002370
0,4,5,4,0.002395
2,0,1,4,0.000535
1,2,3,4,0.000780
1,4,5,4,0.000778
3,0,1,4,0.000771
4,0,1,4,0.000520
2,4,5,4,0.000772
2,2,3,4,0.000776
0,6,7,4,0.002911
5,0,1,4,0.000527
3,2,3,4,0.000769
3,4,5,4,0.000764
6,0,1,4,0.000760
1,6,7,4,0.001001
4,2,3,4,0.000530
4,4,5,4,0.000763
7,0,1,4,0.000785
5,2,3,4,0.000764
2,6,7,4,0.000952
5,4,5,4,0.000781
8,0,1,4,0.000509
6,2,3,4,0.000761
9,0,1,4,0.000508
6,4,5,4,0.000775
3,6,7,4,0.000989
10,0,1,4,0.000528
7,2,3,4,0.000769
7,4,5,4,0.000781
11,0,1,4,0.000765
4,6,7,4,0.000990
8,2,3,4,0.000763
8,4,5,4,0.000763
12,0,1,4,0.000517
9,2,3,4,0.000770
5,6,7,4,0.000980
9,4,5,4,0.000778
13,0,1,4,0.000741
10,2,3,4,0.000767
14,0,1,4,0.000523
6,6,7,4,0.000994
10,4,5,4,0.000779
11,2,3,4,0.000757
15,0,1,4,0.000769
7,6,7,4,0.000952
11,4,5,4,0.000776
12,2,3,4,0.000517
16,0,1,4,0.000521
12,4,5,4,0.000770
13,2,3,4,0.000768
17,0,1,4,0.000762
8,6,7,4,0.000982
14,2,3,4,0.000515
13,4,5,4,0.000783
18,0,1,4,0.000518
15,2,3,4,0.000507
19,0,1,4,0.000526
9,6,7,4,0.000984
14,4,5,4,0.000771
16,2,3,4,0.000518
20,0,1,4,0.000755
15,4,5,4,0.000778
10,6,7,4,0.000983
17,2,3,4,0.000765
18,2,3,4,0.000515
21,0,1,4,0.000767
16,4,5,4,0.000776
11,6,7,4,0.000999
22,0,1,4,0.000781
19,2,3,4,0.000773
17,4,5,4,0.000770
23,0,1,4,0.000760
12,6,7,4,0.000992
18,4,5,4,0.000780
20,2,3,4,0.000762
24,0,1,4,0.000507
13,6,7,4,0.000958
19,4,5,4,0.000771
21,2,3,4,0.000763
25,0,1,4,0.000763
22,2,3,4,0.000768
20,4,5,4,0.000776
14,6,7,4,0.000952
26,0,1,4,0.000778
23,2,3,4,0.000770
21,4,5,4,0.000778
27,0,1,4,0.000770
15,6,7,4,0.000986
24,2,3,4,0.000518
22,4,5,4,0.000777
25,2,3,4,0.000516
28,0,1,4,0.000513
16,6,7,4,0.000976
23,4,5,4,0.000761
29,0,1,4,0.000762
26,2,3,4,0.000766
30,0,1,4,0.000516
17,6,7,4,0.000981
24,4,5,4,0.000766
27,2,3,4,0.000760
31,0,1,4,0.000503
25,4,5,4,0.000775
18,6,7,4,0.000984
32,0,1,4,0.000768
28,2,3,4,0.000765
26,4,5,4,0.000772
33,0,1,4,0.000517
29,2,3,4,0.000771
19,6,7,4,0.000991
30,2,3,4,0.000515
27,4,5,4,0.000776
34,0,1,4,0.000764
20,6,7,4,0.000984
28,4,5,4,0.000774
35,0,1,4,0.000772
31,2,3,4,0.000764
32,2,3,4,0.000767
36,0,1,4,0.000509
21,6,7,4,0.001003
29,4,5,4,0.000771
37,0,1,4,0.000508
33,2,3,4,0.000769
30,4,5,4,0.000780
22,6,7,4,0.001000
38,0,1,4,0.000773
34,2,3,4,0.000771
31,4,5,4,0.000779
39,0,1,4,0.000763
23,6,7,4,0.000995
35,2,3,4,0.000772
32,4,5,4,0.000769
40,0,1,4,0.000521
36,2,3,4,0.000763
41,0,1,4,0.000515
24,6,7,4,0.000996
33,4,5,4,0.000779
37,2,3,4,0.000516
42,0,1,4,0.000524
25,6,7,4,0.000959
34,4,5,4,0.000777
38,2,3,4,0.000525
43,0,1,4,0.000747
39,2,3,4,0.000768
35,4,5,4,0.000784
44,0,1,4,0.000760
26,6,7,4,0.000968
40,2,3,4,0.000511
36,4,5,4,0.000775
45,0,1,4,0.000535
27,6,7,4,0.001010
46,0,1,4,0.000765
41,2,3,4,0.000767
37,4,5,4,0.000783
42,2,3,4,0.000768
47,0,1,4,0.000752
28,6,7,4,0.000997
38,4,5,4,0.000771
43,2,3,4,0.000762
48,0,1,4,0.000499
39,4,5,4,0.000778
49,0,1,4,0.000503
29,6,7,4,0.001010
44,2,3,4,0.000765
40,4,5,4,0.000774
50,0,1,4,0.000759
30,6,7,4,0.001007
51,0,1,4,0.000519
45,2,3,4,0.000761
41,4,5,4,0.000770
46,2,3,4,0.000761
52,0,1,4,0.000763
31,6,7,4,0.000989
42,4,5,4,0.000774
47,2,3,4,0.000524
53,0,1,4,0.000760
43,4,5,4,0.000777
32,6,7,4,0.000999
54,0,1,4,0.000509
48,2,3,4,0.000751
44,4,5,4,0.000766
49,2,3,4,0.000762
55,0,1,4,0.000765
33,6,7,4,0.000999
50,2,3,4,0.000514
45,4,5,4,0.000780
56,0,1,4,0.000507
34,6,7,4,0.000966
51,2,3,4,0.000779
46,4,5,4,0.000777
57,0,1,4,0.000762
52,2,3,4,0.000517
35,6,7,4,0.000959
47,4,5,4,0.000765
58,0,1,4,0.000759
53,2,3,4,0.000762
59,0,1,4,0.000525
36,6,7,4,0.000999
48,4,5,4,0.000776
54,2,3,4,0.000767
60,0,1,4,0.000758
49,4,5,4,0.000771
55,2,3,4,0.000514
61,0,1,4,0.000527
37,6,7,4,0.001000
50,4,5,4,0.000779
56,2,3,4,0.000768
62,0,1,4,0.000766
38,6,7,4,0.001009
51,4,5,4,0.000775
57,2,3,4,0.000516
63,0,1,4,0.000758
52,4,5,4,0.000775
58,2,3,4,0.000772
39,6,7,4,0.001006
64,0,1,4,0.000771
59,2,3,4,0.000515
53,4,5,4,0.000774
65,0,1,4,0.000516
40,6,7,4,0.001001
60,2,3,4,0.000770
54,4,5,4,0.000773
66,0,1,4,0.000768
41,6,7,4,0.000975
61,2,3,4,0.000759
55,4,5,4,0.000769
67,0,1,4,0.000767
62,2,3,4,0.000520
42,6,7,4,0.000958
56,4,5,4,0.000783
68,0,1,4,0.000766
63,2,3,4,0.000766
69,0,1,4,0.000527
64,2,3,4,0.000509
57,4,5,4,0.000777
43,6,7,4,0.000998
70,0,1,4,0.000507
65,2,3,4,0.000523
58,4,5,4,0.000769
66,2,3,4,0.000513
71,0,1,4,0.000765
44,6,7,4,0.001003
59,4,5,4,0.000768
67,2,3,4,0.000506
72,0,1,4,0.000510
45,6,7,4,0.000994
60,4,5,4,0.000770
73,0,1,4,0.000764
68,2,3,4,0.000763
69,2,3,4,0.000503
74,0,1,4,0.000514
61,4,5,4,0.000773
46,6,7,4,0.000980
75,0,1,4,0.000520
70,2,3,4,0.000772
62,4,5,4,0.000771
76,0,1,4,0.000493
47,6,7,4,0.000995
71,2,3,4,0.000523
77,0,1,4,0.000515
63,4,5,4,0.000779
72,2,3,4,0.000767
78,0,1,4,0.000520
48,6,7,4,0.000950
73,2,3,4,0.000509
64,4,5,4,0.000775
79,0,1,4,0.000775
49,6,7,4,0.000999
65,4,5,4,0.000778
80,0,1,4,0.000516
74,2,3,4,0.000766
81,0,1,4,0.000509
75,2,3,4,0.000764
66,4,5,4,0.000777
50,6,7,4,0.000998
76,2,3,4,0.000771
82,0,1,4,0.000758
67,4,5,4,0.000773
51,6,7,4,0.000999
83,0,1,4,0.000768
77,2,3,4,0.000769
68,4,5,4,0.000772
84,0,1,4,0.000764
69,4,5,4,0.000775
52,6,7,4,0.000998
78,2,3,4,0.000760
85,0,1,4,0.000500
79,2,3,4,0.000762
70,4,5,4,0.000769
86,0,1,4,0.000517
53,6,7,4,0.001006
80,2,3,4,0.000515
87,0,1,4,0.000759
71,4,5,4,0.000776
54,6,7,4,0.001003
81,2,3,4,0.000773
72,4,5,4,0.000761
88,0,1,4,0.000761
82,2,3,4,0.000503
55,6,7,4,0.001009
89,0,1,4,0.000757
83,2,3,4,0.000763
73,4,5,4,0.000774
56,6,7,4,0.000965
90,0,1,4,0.000759
84,2,3,4,0.000510
74,4,5,4,0.000774
91,0,1,4,0.000523
85,2,3,4,0.000774
57,6,7,4,0.000994
75,4,5,4,0.000783
92,0,1,4,0.000522
86,2,3,4,0.000754
76,4,5,4,0.000776
93,0,1,4,0.000774
58,6,7,4,0.000996
87,2,3,4,0.000769
77,4,5,4,0.000768
94,0,1,4,0.000758
59,6,7,4,0.001008
95,0,1,4,0.000510
88,2,3,4,0.000761
78,4,5,4,0.000770
96,0,1,4,0.000528
89,2,3,4,0.000767
60,6,7,4,0.000995
79,4,5,4,0.000780
97,0,1,4,0.000755
90,2,3,4,0.000760
80,4,5,4,0.000771
98,0,1,4,0.000515
61,6,7,4,0.001002
91,2,3,4,0.000514
99,0,1,4,0.000493
81,4,5,4,0.000774
92,2,3,4,0.000767
62,6,7,4,0.000995
82,4,5,4,0.000768
93,2,3,4,0.000517
63,6,7,4,0.000999
83,4,5,4,0.000779
94,2,3,4,0.000765
84,4,5,4,0.000781
95,2,3,4,0.000770
64,6,7,4,0.000998
96,2,3,4,0.000515
65,6,7,4,0.000999
85,4,5,4,0.000777
97,2,3,4,0.000521
86,4,5,4,0.000775
98,2,3,4,0.000763
66,6,7,4,0.000969
87,4,5,4,0.000520
99,2,3,4,0.000765
88,4,5,4,0.000782
67,6,7,4,0.001003
89,4,5,4,0.000771
68,6,7,4,0.001000
90,4,5,4,0.000774
91,4,5,4,0.000780
69,6,7,4,0.000998
70,6,7,4,0.001004
92,4,5,4,0.000774
93,4,5,4,0.000772
71,6,7,4,0.000975
94,4,5,4,0.000775
72,6,7,4,0.001005
95,4,5,4,0.000771
73,6,7,4,0.001011
96,4,5,4,0.000776
97,4,5,4,0.000778
74,6,7,4,0.001002
98,4,5,4,0.000773
75,6,7,4,0.001005
99,4,5,4,0.000774
76,6,7,4,0.001002
77,6,7,4,0.000970
78,6,7,4,0.001009
79,6,7,4,0.001001
80,6,7,4,0.001002
81,6,7,4,0.001006
82,6,7,4,0.000995
83,6,7,4,0.000967
84,6,7,4,0.001001
85,6,7,4,0.001003
86,6,7,4,0.000965
87,6,7,4,0.001001
88,6,7,4,0.000997
89,6,7,4,0.000996
90,6,7,4,0.000949
91,6,7,4,0.001001
92,6,7,4,0.000997
93,6,7,4,0.001004
94,6,7,4,0.000960
95,6,7,4,0.001007
96,6,7,4,0.001005
