exp,src,dst,number_of_packets,packet_size,time
1,0,1,100,4,0.000117
2,0,1,100,4,0.000021
3,0,1,100,4,0.000011
4,0,1,100,4,0.000011
5,0,1,100,4,0.000011
6,0,1,100,4,0.000011
7,0,1,100,4,0.000011
8,0,1,100,4,0.000011
9,0,1,100,4,0.000011
10,0,1,100,4,0.000011
11,0,1,100,4,0.000011
12,0,1,100,4,0.000011
13,0,1,100,4,0.000011
14,0,1,100,4,0.000011
15,0,1,100,4,0.000011
16,0,1,100,4,0.000018
17,0,1,100,4,0.000012
18,0,1,100,4,0.000011
19,0,1,100,4,0.000011
20,0,1,100,4,0.000011
21,0,1,100,4,0.000011
22,0,1,100,4,0.000011
23,0,1,100,4,0.000011
24,0,1,100,4,0.000011
25,0,1,100,4,0.000011
26,0,1,100,4,0.000011
27,0,1,100,4,0.000012
28,0,1,100,4,0.000011
29,0,1,100,4,0.000011
30,0,1,100,4,0.000011
31,0,1,100,4,0.000011
32,0,1,100,4,0.000011
33,0,1,100,4,0.000011
34,0,1,100,4,0.000011
35,0,1,100,4,0.000011
36,0,1,100,4,0.000011
37,0,1,100,4,0.000011
38,0,1,100,4,0.000011
39,0,1,100,4,0.000011
40,0,1,100,4,0.000011
41,0,1,100,4,0.000011
42,0,1,100,4,0.000011
43,0,1,100,4,0.000011
44,0,1,100,4,0.000011
45,0,1,100,4,0.000011
46,0,1,100,4,0.000011
47,0,1,100,4,0.000011
48,0,1,100,4,0.000011
49,0,1,100,4,0.000011
50,0,1,100,4,0.000011
51,0,1,100,4,0.000011
52,0,1,100,4,0.000011
53,0,1,100,4,0.000011
54,0,1,100,4,0.000011
55,0,1,100,4,0.000011
56,0,1,100,4,0.000011
57,0,1,100,4,0.000011
58,0,1,100,4,0.000023
59,0,1,100,4,0.000011
60,0,1,100,4,0.000020
61,0,1,100,4,0.000011
62,0,1,100,4,0.000011
63,0,1,100,4,0.000011
64,0,1,100,4,0.000014
65,0,1,100,4,0.000011
66,0,1,100,4,0.000011
67,0,1,100,4,0.000011
68,0,1,100,4,0.000011
69,0,1,100,4,0.000011
70,0,1,100,4,0.000011
71,0,1,100,4,0.000011
72,0,1,100,4,0.000011
73,0,1,100,4,0.000011
74,0,1,100,4,0.000011
75,0,1,100,4,0.000011
76,0,1,100,4,0.000011
77,0,1,100,4,0.000011
78,0,1,100,4,0.000011
79,0,1,100,4,0.000011
80,0,1,100,4,0.000011
81,0,1,100,4,0.000011
82,0,1,100,4,0.000011
83,0,1,100,4,0.000011
84,0,1,100,4,0.000011
85,0,1,100,4,0.000011
86,0,1,100,4,0.000011
87,0,1,100,4,0.000011
88,0,1,100,4,0.000011
89,0,1,100,4,0.000011
90,0,1,100,4,0.000011
91,0,1,100,4,0.000011
92,0,1,100,4,0.000011
93,0,1,100,4,0.000011
94,0,1,100,4,0.000011
95,0,1,100,4,0.000011
96,0,1,100,4,0.000011
97,0,1,100,4,0.000011
98,0,1,100,4,0.000011
99,0,1,100,4,0.000011
1,0,1,100,40,0.000108
2,0,1,100,40,0.000037
3,0,1,100,40,0.000011
4,0,1,100,40,0.000011
5,0,1,100,40,0.000011
6,0,1,100,40,0.000011
7,0,1,100,40,0.000011
8,0,1,100,40,0.000011
9,0,1,100,40,0.000011
10,0,1,100,40,0.000011
11,0,1,100,40,0.000011
12,0,1,100,40,0.000011
13,0,1,100,40,0.000011
14,0,1,100,40,0.000011
15,0,1,100,40,0.000011
16,0,1,100,40,0.000019
17,0,1,100,40,0.000013
18,0,1,100,40,0.000011
19,0,1,100,40,0.000011
20,0,1,100,40,0.000011
21,0,1,100,40,0.000011
22,0,1,100,40,0.000011
23,0,1,100,40,0.000011
24,0,1,100,40,0.000011
25,0,1,100,40,0.000011
26,0,1,100,40,0.000012
27,0,1,100,40,0.000012
28,0,1,100,40,0.000011
